
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","21.9","21.8","21.7","21.5","21.5","/","21.9","22.2","22.8","23.2","23.7","24.3","23.8","23.6","22.9","21.7","21.4","21.4","21.3","21.1","21.1","21.3","21.3","21.2","22.1"
"02","21.0","21.0","21.2","21.2","21.0","20.6","19.8","20.0","20.5","20.2","20.6","20.1","19.4","19.5","19.7","19.5","19.3","19.4","20.1","20.4","20.3","20.1","20.3","20.3","20.2"
"03","20.3","20.4","20.6","20.5","20.3","20.4","20.8","21.5","22.2","23.1","24.1","24.2","24.5","23.8","23.5","23.4","23.2","23.0","23.3","23.7","23.3","23.7","23.5","23.2","22.5"
"04","23.5","23.7","23.8","23.6","22.8","22.5","22.9","23.5","24.9","26.6","27.3","27.8","28.1","26.9","26.5","26.6","26.5","25.7","25.5","25.3","24.5","24.3","23.8","23.4","25.0"
"05","23.1","22.7","22.6","22.4","22.3","22.1","22.3","24.2","26.0","26.9","28.4","29.0","28.9","27.6","26.5","26.4","26.6","26.5","25.8","25.5","25.1","24.6","23.7","23.2","25.1"
"06","23.1","23.4","23.7","23.6","23.5","23.0","23.1","24.9","25.8","26.8","28.6","28.3","27.7","27.1","26.5","26.1","25.7","25.3","25.4","25.2","24.8","24.6","24.0","24.1","25.2"
"07","23.7","23.7","23.5","23.6","23.4","23.2","23.7","24.6","25.3","27.4","27.8","27.1","27.5","27.2","27.0","25.5","25.0","25.1","25.2","25.5","24.9","24.5","24.2","23.9","25.1"
"08","23.4","23.0","23.0","23.1","22.8","22.9","22.9","24.0","25.5","26.6","27.6","29.2","29.1","29.3","27.4","26.7","25.8","25.4","24.7","24.5","24.3","24.3","24.1","23.9","25.1"
"09","23.9","23.9","23.7","23.4","23.2","23.1","23.4","24.0","25.3","26.4","27.3","26.6","25.3","24.7","24.6","22.7","22.0","21.7","21.4","21.3","20.9","20.9","20.8","20.5","23.4"
"10","20.4","20.4","20.3","20.4","20.3","20.1","20.4","21.0","21.2","21.5","21.7","21.6","22.4","21.8","21.9","21.5","20.9","20.7","20.2","20.0","20.2","20.4","20.5","20.4","20.8"
"11","20.3","20.6","20.7","20.7","20.7","20.9","21.1","21.4","22.1","21.8","21.5","20.8","20.3","21.3","21.7","21.7","21.6","21.3","21.5","21.2","21.4","21.3","21.3","21.0","21.2"
"12","21.1","20.9","20.8","21.0","21.2","21.2","21.3","21.5","23.0","25.7","26.8","27.3","27.4","27.3","26.4","26.5","25.6","24.7","24.1","23.7","23.3","23.0","22.6","22.5","23.7"
"13","22.7","22.2","22.0","22.1","22.3","22.5","22.6","22.9","23.4","24.1","23.6","23.8","23.3","24.2","24.5","24.5","24.8","24.0","24.0","24.0","24.1","23.7","23.0","23.1","23.4"
"14","22.6","22.2","22.4","22.2","21.3","21.6","21.8","22.3","24.3","25.5","25.6","25.8","25.4","25.5","24.9","24.7","24.4","23.3","22.4","22.3","22.6","22.5","22.3","22.0","23.3"
"15","21.8","21.7","21.5","21.4","21.2","21.3","21.6","22.7","24.8","26.3","27.7","28.4","28.6","29.1","28.6","27.5","26.6","25.4","24.3","24.0","23.6","23.5","23.4","23.2","24.5"
"16","23.1","22.8","22.5","21.7","21.7","21.6","22.1","24.5","25.1","26.9","28.1","27.6","27.2","28.6","26.3","26.0","24.3","24.2","23.9","24.1","23.9","23.4","23.0","22.7","24.4"
"17","22.4","21.9","21.9","21.9","21.3","21.3","21.7","23.3","25.1","26.7","28.7","29.8","29.2","29.1","27.9","26.7","26.8","26.5","26.5","26.1","25.4","24.7","24.1","24.0","25.1"
"18","23.7","23.2","23.2","23.2","23.1","23.6","24.1","25.6","27.3","28.3","29.0","28.4","28.1","26.6","26.3","25.7","25.4","25.2","25.5","25.2","24.7","24.3","24.2","23.0","25.3"
"19","23.1","22.9","23.0","23.0","22.9","22.7","22.8","23.2","24.1","25.1","25.3","25.7","26.1","26.5","26.0","25.2","24.3","23.4","23.2","23.0","23.0","22.7","22.6","22.5","23.8"
"20","22.3","22.1","21.9","21.7","21.3","21.3","21.1","23.0","24.3","25.7","26.4","27.8","28.1","29.0","28.4","28.1","26.4","25.4","24.3","24.5","24.0","24.1","23.7","23.1","24.5"
"21","23.1","23.3","22.5","22.5","22.7","23.0","23.3","24.2","24.8","24.3","24.0","24.1","24.2","23.4","23.6","23.3","22.2","22.0","22.4","22.0","21.7","21.2","20.8","21.1","22.9"
"22","21.3","21.1","20.5","20.5","20.2","20.4","20.5","21.9","23.6","25.3","26.0","26.2","25.5","26.7","26.5","26.8","25.8","24.9","24.4","23.9","23.1","23.1","22.8","22.7","23.5"
"23","22.4","22.3","22.1","22.2","22.2","22.2","22.4","22.9","23.8","24.3","24.9","25.4","24.7","24.8","24.7","24.1","23.4","22.9","22.8","22.4","21.6","21.4","21.3","21.6","23.0"
"24","21.1","21.1","21.3","21.2","21.1","20.6","21.0","21.3","21.9","22.2","22.5","22.6","22.5","23.1","22.4","22.3","22.0","21.6","21.4","21.3","21.0","21.0","20.8","20.6","21.6"
"25","20.5","20.6","20.7","20.8","20.6","20.8","20.8","21.2","22.3","22.1","22.6","22.7","22.6","22.6","21.4","20.0","19.8","19.6","19.5","19.1","18.7","18.3","17.8","17.0","20.5"
"26","16.8","16.4","16.7","16.3","15.9","15.7","15.4","15.4","15.7","16.1","17.0","16.8","17.1","17.1","16.8","15.9","14.8","13.8","13.3","13.0","12.9","12.8","12.9","13.0","15.3"
"27","13.0","13.0","13.0","12.9","12.9","12.9","13.1","13.7","14.1","15.1","15.6","16.7","17.1","17.5","17.5","17.2","16.5","15.8","15.5","15.2","14.8","14.7","14.6","14.4","14.9"
"28","14.1","13.3","12.9","12.7","12.6","12.7","13.3","15.8","17.6","19.2","21.2","22.2","23.1","23.7","24.1","23.3","22.0","20.8","20.1","19.4","19.2","18.9","18.8","17.8","18.3"
