
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","74","75","74","77","79","79","74","69","67","67","66","63","68","70","68","66","71","72","75","76","77","79","83","83","73"
"02","84","87","86","87","88","88","81","80","73","67","66","59","61","58","58","60","64","71","73","78","78","80","82","85","75"
"03","85","83","79","77","75","74","72","75","71","63","63","68","71","72","68","68","74","77","77","79","78","75","76","75","74"
"04","75","75","76","76","78","76","83","76","78","72","68","75","73","71","74","77","75","74","75","76","76","76","75","78","75"
"05","78","78","78","78","77","77","76","70","65","63","61","56","56","55","57","59","61","64","66","68","70","72","74","75","68"
"06","76","79","79","81","82","83","83","82","74","69","64","61","61","62","62","62","65","68","71","74","75","76","75","73","72"
"07","74","74","78","79","77","79","79","73","68","66","65","66","63","64","63","63","65","71","77","74","70","70","72","73","71"
"08","74","75","76","78","78","77","75","70","64","57","59","57","54","61","63","68","71","72","73","72","70","66","68","65","68"
"09","68","68","70","72","72","70","68","58","52","53","47","49","53","55","55","53","59","70","73","71","56","59","59","59","61"
"10","60","70","63","71","74","73","67","66","58","58","59","53","64","59","62","59","59","61","62","63","65","65","64","63","63"
"11","65","64","62","66","70","72","71","65","62","56","53","53","51","50","52","59","60","66","67","72","75","75","76","77","64"
"12","75","77","79","74","79","81","79","76","72","74","77","76","81","76","74","70","74","75","68","71","75","74","77","80","76"
"13","79","78","79","83","83","87","86","85","86","86","88","89","90","91","89","89","91","90","91","90","91","90","92","92","87"
"14","92","90","91","93","91","87","82","86","81","81","79","75","79","81","84","89","89","90","86","87","86","91","92","92","86"
"15","93","94","94","94","94","95","94","94","95","94","94","93","91","90","93","93","92","93","94","93","91","92","93","94","93"
"16","93","95","94","94","94","94","88","82","76","77","75","76","79","82","80","83","89","88","87","88","88","88","87","87","86"
"17","87","88","88","87","88","87","86","85","86","84","85","84","83","83","83","82","84","85","84","85","86","85","86","86","85"
"18","85","86","86","89","88","90","87","89","90","89","87","87","87","86","84","85","89","88","87","85","84","82","81","82","86"
"19","84","79","77","81","85","86","90","87","83","79","79","83","82","88","85","86","89","85","84","86","85","86","91","91","85"
"20","90","87","88","88","88","90","88","85","79","86","81","75","80","84","81","84","89","87","83","91","88","89","92","88","86"
"21","82","84","84","83","85","88","89","83","80","73","72","71","69","67","68","67","68","65","62","55","52","56","57","57","72"
"22","57","58","59","62","63","66","63","60","54","53","54","55","53","51","52","52","55","56","57","59","60","61","59","60","57"
"23","61","62","58","58","62","63","63","62","63","60","61","61","59","58","59","61","65","66","68","69","70","70","69","68","63"
"24","67","67","68","68","68","69","68","67","62","60","59","61","65","67","68","64","67","70","72","73","74","74","73","70","68"
"25","69","69","68","70","72","73","71","67","61","58","56","54","52","50","50","54","59","62","66","64","62","59","65","63","62"
"26","63","63","62","62","62","66","64","61","58","55","51","52","53","57","58","59","61","64","67","68","68","66","67","69","62"
"27","69","70","72","73","72","70","67","65","59","64","63","60","63","63","65","69","70","73","75","77","80","81","81","81","70"
"28","79","77","67","72","74","75","84","88","83","70","69","67","68","65","64","64","64","68","69","69","73","76","72","68","72"
"29","67","68","69","73","76","77","76","64","58","53","57","58","58","56","56","55","55","60","61","63","65","67","69","69","64"
"30","66","67","66","68","64","64","60","58","49","53","52","55","58","59","62","65","70","73","72","70","68","67","66","60","63"
"31","68","67","63","64","61","64","63","59","58","56","55","52","51","54","57","60","65","68","71","71","69","72","74","76","63"
"平均","75","76","75","77","77","78","77","74","70","68","67","66","67","67","68","69","71","73","74","75","74","75","76","75","平均"
