
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","996.5","996.2","995.9","995.6","995.6","/","995.9","996.4","996.2","996.6","996.4","996.0","995.6","995.1","994.5","994.3","994.5","995.0","994.9","994.9","995.9","996.5","996.5","996.4","995.7"
"02","995.9","995.3","995.2","995.2","995.6","995.9","996.1","995.8","995.9","996.0","995.9","995.6","995.4","995.2","995.1","994.8","995.3","995.7","996.2","996.7","997.1","997.8","997.8","997.3","995.9"
"03","997.2","996.6","996.4","996.5","996.6","997.3","997.4","997.8","997.8","997.6","997.3","997.3","996.9","996.3","995.9","995.5","996.0","996.1","996.5","997.3","997.7","998.1","997.9","997.6","997.0"
"04","997.0","996.5","996.0","996.1","996.1","996.6","997.1","997.5","997.7","997.7","997.6","997.6","997.4","997.2","997.0","996.6","996.7","997.0","997.3","997.8","998.0","998.1","997.7","997.2","997.1"
"05","996.6","996.1","995.9","995.5","995.6","995.8","995.8","995.6","995.2","994.7","994.4","994.0","993.3","992.6","992.1","991.7","991.8","992.5","993.2","993.4","993.8","993.8","993.7","993.6","994.2"
"06","993.1","992.9","992.4","992.0","992.2","992.0","992.2","992.0","991.8","991.9","991.8","991.4","991.2","990.8","990.9","991.1","991.2","991.3","991.8","992.5","992.9","993.0","992.7","992.5","992.0"
"07","992.1","991.8","991.4","991.7","991.7","992.4","993.0","993.0","993.1","992.9","992.4","992.0","991.6","991.0","990.9","990.5","990.8","991.4","991.7","992.1","992.5","992.6","992.7","991.9","992.0"
"08","991.2","991.0","990.8","991.0","991.2","991.7","992.0","992.1","991.9","991.4","990.9","991.1","991.0","990.7","990.2","990.0","990.2","990.5","990.8","991.1","991.7","992.7","992.9","993.0","991.3"
"09","992.8","992.3","992.6","992.8","993.1","993.9","994.4","994.8","994.7","994.5","994.4","994.0","993.5","992.5","992.5","992.0","991.7","992.1","992.7","993.1","993.3","993.0","992.6","991.9","993.1"
"10","990.8","990.3","989.9","989.8","990.0","990.3","990.6","990.7","990.8","990.7","990.6","989.9","989.4","989.1","988.6","988.7","988.8","988.8","988.7","988.9","988.6","988.5","988.0","987.4","989.5"
"11","987.1","987.0","986.6","986.8","986.6","987.2","988.1","988.8","988.8","988.5","988.6","988.4","988.0","987.8","988.0","988.0","988.3","989.1","989.7","989.9","990.4","991.3","991.5","991.1","988.6"
"12","991.2","990.8","991.0","991.2","991.6","992.0","992.6","992.9","993.4","993.6","993.4","993.1","992.8","993.0","992.9","992.8","993.2","993.9","994.3","995.2","995.9","996.5","996.5","996.2","993.3"
"13","995.5","995.2","995.2","995.4","995.9","996.6","997.0","997.1","997.4","997.2","997.0","996.7","996.2","995.7","995.3","995.0","994.7","994.8","995.2","995.6","996.5","997.2","997.1","997.1","996.1"
"14","997.0","996.4","996.2","996.1","996.0","996.3","996.8","997.2","997.2","997.1","997.0","996.8","996.4","995.6","995.2","994.6","994.4","994.2","994.5","995.3","995.8","997.0","997.3","996.9","996.1"
"15","996.2","995.9","996.0","996.1","996.3","996.3","996.1","995.9","996.1","996.3","996.3","995.8","995.3","995.1","/","994.3","994.1","994.0","994.1","994.5","994.9","995.6","995.4","995.2","995.5"
"16","994.9","994.7","994.8","994.9","994.8","994.8","994.6","994.5","994.5","994.2","993.9","993.6","993.5","993.0","992.7","992.2","991.8","991.9","992.2","992.9","993.6","994.3","994.9","994.9","993.8"
"17","994.6","994.2","994.4","994.7","995.2","995.3","995.6","995.8","995.8","995.7","995.7","995.1","994.8","994.7","994.6","994.3","994.4","994.8","994.9","995.5","996.0","996.4","996.4","996.4","995.2"
"18","996.3","996.0","996.1","995.9","995.9","996.3","996.5","996.6","996.8","996.8","996.6","996.5","996.2","995.7","995.3","994.9","994.6","994.5","994.8","995.3","995.8","996.3","996.3","996.4","995.9"
"19","996.4","996.3","995.9","995.9","996.1","996.8","997.3","997.4","997.4","997.8","997.7","997.9","997.5","997.3","997.5","997.6","998.0","998.6","999.4","999.3","999.6","1000.3","999.8","999.9","997.8"
"20","999.3","999.1","999.1","999.8","1000.0","1000.0","1000.0","1000.1","1000.8","1001.0","1001.0","1001.0","1000.7","1000.8","1000.2","1000.3","1000.6","1001.0","1001.6","1002.0","1002.1","1002.2","1002.3","1001.8","1000.7"
"21","1001.8","1001.5","1001.1","1001.3","1001.5","1001.7","1002.3","1002.4","1002.2","1002.0","1002.0","1001.4","1000.9","1000.8","1000.5","1000.2","1000.4","1000.6","1000.7","1001.4","1001.9","1002.2","1002.4","1001.9","1001.5"
