
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","2.7 / 47","3.3 / 48","3.2 / 48","2.8 / 68","2.9 / 55","/ / /","2.5 / 53","4.1 / 46","2.8 / 50","3.3 / 43","2.5 / 42","2.7 / 36","3.7 / 28","2.3 / 37","3.2 / 19","3.3 / 35","3.4 / 48","2.6 / 43","3.5 / 41","3.6 / 47","3.1 / 52","3.0 / 55","2.2 / 62","2.7 / 31","3.0"
"02","2.9 / 48","2.6 / 43","2.4 / 49","3.3 / 50","3.2 / 29","3.8 / 43","4.0 / 43","4.4 / 47","4.5 / 35","5.2 / 46","4.0 / 40","4.5 / 47","5.4 / 41","4.3 / 44","4.1 / 47","3.4 / 37","3.9 / 37","3.9 / 42","4.2 / 51","4.4 / 47","4.7 / 50","4.7 / 47","4.5 / 48","4.6 / 50","4.0"
"03","6.3 / 49","5.7 / 52","5.9 / 53","4.5 / 50","3.2 / 42","3.6 / 47","4.1 / 47","5.7 / 53","5.4 / 61","5.0 / 53","4.4 / 52","5.2 / 46","5.4 / 45","6.0 / 48","5.2 / 50","5.7 / 52","3.2 / 32","6.1 / 51","5.5 / 50","4.2 / 49","7.1 / 48","6.3 / 52","3.1 / 56","4.1 / 89","5.0"
"04","2.7 / 80","0.7 / 91","1.4 / 82","0.9 / 60","2.4 / 82","1.4 / 111","2.1 / 80","1.7 / 90","0.7 / 121","1.4 / 233","2.2 / 218","2.5 / 238","2.3 / 239","2.3 / 265","2.9 / 267","2.1 / 210","0.7 / 226","0.2 / 0","0.2 / 0","0.2 / 0","0.1 / 0","0.8 / 92","0.1 / 0","0.7 / 90","1.4"
"05","0.5 / 129","1.2 / 89","0.2 / 0","0.0 / 0","0.0 / 0","0.4 / 225","0.3 / 109","0.3 / 292","0.9 / 213","1.1 / 227","0.4 / 288","1.1 / 236","2.1 / 275","2.2 / 325","1.9 / 337","1.4 / 20","1.3 / 37","0.4 / 38","0.7 / 10","1.6 / 75","1.3 / 51","0.8 / 149","1.0 / 219","0.3 / 234","0.9"
"06","1.0 / 141","1.1 / 137","1.3 / 153","0.5 / 92","2.0 / 161","0.8 / 84","0.9 / 87","0.7 / 88","0.6 / 38","1.2 / 36","0.7 / 331","2.1 / 308","2.7 / 291","2.7 / 302","2.3 / 288","1.6 / 294","1.5 / 289","0.8 / 192","0.4 / 8","1.0 / 155","0.4 / 212","1.1 / 230","1.8 / 177","0.2 / 0","1.2"
"07","0.0 / 0","1.2 / 148","0.6 / 168","0.3 / 277","0.6 / 197","0.5 / 218","0.5 / 230","0.7 / 244","2.6 / 225","1.2 / 288","2.3 / 285","2.3 / 292","2.4 / 278","2.2 / 295","2.1 / 280","1.6 / 336","0.9 / 29","1.9 / 87","2.0 / 113","2.0 / 113","0.5 / 97","0.4 / 114","1.2 / 95","0.1 / 0","1.3"
"08","0.1 / 0","0.4 / 220","1.0 / 188","0.7 / 183","1.5 / 189","1.7 / 173","0.7 / 70","0.1 / 0","1.0 / 345","1.0 / 324","1.4 / 280","1.1 / 291","0.5 / 13","1.6 / 333","1.4 / 315","1.2 / 301","0.5 / 66","1.6 / 336","0.1 / 0","1.2 / 14","0.6 / 32","0.9 / 32","0.0 / 0","1.2 / 233","0.9"
"09","0.8 / 238","0.8 / 257","0.6 / 38","1.2 / 36","1.5 / 161","0.8 / 38","1.6 / 103","1.9 / 76","1.9 / 63","1.4 / 360","2.1 / 344","2.2 / 348","3.6 / 32","4.2 / 36","3.3 / 47","5.0 / 45","3.8 / 41","4.5 / 27","4.6 / 52","3.2 / 36","3.7 / 39","4.4 / 50","3.9 / 45","3.7 / 48","2.7"
"10","4.2 / 51","3.0 / 49","3.9 / 40","3.4 / 46","4.3 / 47","4.2 / 41","5.2 / 43","3.7 / 49","4.3 / 48","4.2 / 37","4.6 / 39","5.2 / 38","5.8 / 48","7.4 / 47","6.6 / 47","5.7 / 51","6.3 / 48","5.4 / 50","4.0 / 53","4.9 / 51","5.2 / 48","3.4 / 45","3.7 / 45","3.9 / 50","4.7"
