
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","21.7","21.1","20.9","20.8","20.6","21.1","21.7","23.1","24.7","27.4","28.8","28.9","29.3","28.1","27.1","27.2","26.7","26.2","25.8","25.2","24.8","24.4","24.0","23.8","24.7"
"02","23.5","23.9","23.5","23.2","23.6","23.6","24.1","26.0","27.9","27.8","28.3","29.5","29.5","27.7","28.4","27.6","27.4","26.9","26.6","26.1","25.5","25.3","25.2","24.7","26.1"
"03","24.1","23.9","23.9","23.8","23.9","24.5","25.6","27.7","29.1","27.7","29.8","29.4","30.1","29.6","30.2","29.3","28.1","26.8","26.1","25.8","25.9","25.7","26.1","26.2","26.8"
"04","26.1","25.9","25.6","25.5","25.4","25.3","26.8","28.0","29.2","30.3","30.7","31.0","30.8","30.4","30.1","29.4","29.0","28.0","27.4","27.1","27.0","27.0","26.7","26.4","27.9"
"05","26.1","25.8","25.7","25.5","24.9","25.0","25.8","27.6","29.2","31.2","30.3","30.6","30.3","29.5","28.8","29.8","30.3","29.2","29.4","29.3","30.3","30.0","30.5","29.8","28.5"
"06","29.8","29.5","29.0","28.9","28.9","28.6","29.4","29.7","31.2","31.7","30.9","30.3","28.9","27.5","27.1","26.2","25.5","25.4","25.6","25.5","25.4","24.9","24.3","24.2","27.9"
"07","24.2","24.0","24.8","24.3","23.3","23.9","24.5","25.7","26.6","27.5","27.5","27.6","27.4","27.6","27.7","27.2","27.2","26.8","26.4","26.0","25.7","25.5","25.7","25.3","25.9"
"08","25.1","25.1","24.6","24.5","24.6","24.9","25.3","27.0","29.2","30.3","30.3","31.1","31.0","31.2","31.4","29.2","29.0","28.4","28.5","28.7","29.0","28.9","28.5","26.9","28.0"
"09","26.7","26.3","26.2","25.9","25.7","25.9","28.8","30.0","31.2","30.7","30.5","30.9","32.3","31.8","32.0","31.2","30.5","28.9","28.5","28.4","28.5","28.6","28.3","28.2","29.0"
"10","27.9","27.5","27.4","26.9","26.9","27.4","27.8","28.9","30.8","32.1","32.6","30.2","30.2","29.2","30.5","29.1","28.1","27.6","27.1","27.2","27.1","27.1","27.0","26.9","28.5"
"11","26.2","25.6","26.0","25.9","25.8","25.8","25.9","26.9","26.9","27.8","29.2","29.7","28.6","28.0","26.7","26.0","26.0","25.8","25.1","24.8","24.8","24.9","24.7","24.8","26.3"
"12","24.6","24.6","24.8","24.9","24.7","24.8","24.8","24.9","24.4","24.2","23.5","23.7","23.4","23.7","23.9","23.9","24.0","23.6","23.2","22.8","22.9","22.8","22.4","22.0","23.9"
"13","22.0","22.1","22.3","22.6","21.6","22.6","25.6","27.4","28.1","28.6","29.2","30.3","30.4","30.8","31.5","30.6","29.6","28.2","26.8","26.1","25.6","25.4","24.8","24.3","26.5"
"14","24.3","24.0","23.7","23.6","23.5","23.8","25.1","27.4","29.2","30.5","31.2","31.3","30.8","28.7","28.4","29.0","28.5","27.1","26.1","26.0","26.1","25.8","25.4","25.3","26.9"
"15","25.4","25.1","24.8","24.5","24.4","24.8","26.5","28.9","29.6","30.3","31.0","30.8","30.3","30.9","31.1","31.3","30.8","29.6","28.7","28.5","28.0","27.8","26.4","26.3","28.2"
