
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","22.6","22.5","21.6","22.1","21.7","20.7","19.8","19.4","18.5","18.4","18.2","18.2","18.0","18.5","18.7","18.4","18.3","18.1","17.9","17.5","16.9","16.2","15.9","15.4","18.9"
"02","13.8","12.4","12.7","12.2","13.0","14.6","15.3","15.9","16.0","14.7","14.9","15.3","16.1","16.5","16.4","16.3","16.5","16.3","16.3","16.5","16.1","15.8","16.0","16.2","15.2"
"03","14.9","14.9","14.8","15.7","13.1","11.2","12.3","15.1","16.2","16.6","15.9","15.8","15.6","15.2","14.8","14.0","14.3","13.5","13.5","13.6","13.9","14.1","14.2","14.4","14.5"
"04","14.6","15.4","16.3","17.3","17.6","17.9","18.6","18.8","18.7","19.2","19.1","19.1","18.8","18.8","18.5","18.8","18.4","18.1","16.9","17.0","16.8","16.7","16.9","16.5","17.7"
"05","16.6","16.5","16.8","16.5","16.8","16.9","17.3","17.9","18.3","18.8","18.5","17.2","18.7","18.3","17.3","18.3","18.2","17.7","17.1","18.1","18.3","18.7","18.8","18.7","17.8"
"06","18.6","18.3","18.2","18.2","18.2","18.2","18.6","18.6","18.3","17.8","17.7","17.2","18.0","17.4","17.6","17.6","17.7","17.8","17.0","17.0","16.9","16.9","16.7","16.4","17.7"
"07","16.7","16.7","16.9","16.0","15.8","16.0","15.6","16.0","15.8","16.0","15.4","15.9","15.3","14.9","14.5","14.8","14.8","14.8","14.8","14.6","14.6","14.6","14.9","15.1","15.4"
"08","15.5","16.0","16.1","16.8","17.1","17.3","17.3","17.9","18.2","18.5","18.9","18.8","19.2","19.4","19.2","18.9","18.9","19.0","19.3","19.1","19.0","19.2","19.3","19.2","18.3"
"09","19.0","19.0","19.1","19.3","19.2","19.3","19.5","19.5","20.0","20.0","20.0","19.8","19.7","19.1","19.3","19.7","19.5","19.4","19.0","18.7","18.7","19.0","18.8","19.0","19.3"
"10","18.8","18.4","18.6","18.4","18.6","18.4","18.9","19.1","19.8","19.7","19.5","19.7","21.2","20.5","21.1","21.5","21.4","19.9","18.9","18.5","18.4","18.3","18.5","18.5","19.4"
