
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","86","87","85","85","87","84","88","87","82","81","87","84","79","77","78","88","90","92","91","92","91","89","86","85","86"
"02","90","92","92","94","92","90","92","88","87","90","89","87","88","89","89","92","91","90","89","91","92","90","90","87","90"
"03","82","85","83","82","81","81","75","73","75","75","72","72","68","65","65","68","71","73","73","72","68","67","65","67","73"
"04","68","68","74","81","85","85","85","78","72","66","62","64","64","62","63","65","69","73","75","77","78","81","83","86","74"
"05","84","85","86","88","90","91","92","92","91","90","89","88","89","88","87","85","84","86","89","89","89","90","90","92","89"
"06","92","92","94","94","94","95","91","87","82","78","76","74","71","69","72","75","75","80","85","87","86","86","87","88","84"
"07","88","88","89","90","89","84","85","77","73","72","70","72","69","67","69","70","75","78","82","84","84","84","87","88","80"
"08","88","90","87","88","87","85","84","85","85","81","78","78","78","80","85","85","85","88","88","89","90","89","90","90","86"
"09","91","91","91","92","91","91","90","89","87","84","81","82","89","88","87","84","79","78","79","84","86","88","89","89","87"
"10","90","92","90","92","92","90","88","76","72","73","76","78","64","62","65","67","72","80","89","87","86","87","88","88","81"
"11","93","94","94","93","95","96","97","98","98","96","97","97","88","77","66","73","80","82","86","89","91","92","92","91","90"
"12","92","92","93","94","95","94","91","84","80","73","71","65","72","76","92","93","94","95","94","94","95","96","97","97","88"
"13","97","91","94","95","97","97","95","91","86","63","62","59","53","60","72","74","81","88","85","80","89","90","91","95","83"
"14","96","96","95","94","96","97","96","95","95","95","96","94","94","94","94","92","92","93","92","94","95","95","95","95","95"
"15","96","96","96","95","95","94","93","93","91","93","91","85","86","89","90","90","92","93","94","93","94","93","93","95","93"
"16","94","94","94","94","94","94","95","95","94","94","94","94","93","94","94","94","93","93","94","95","95","95","96","96","94"
"17","96","96","95","94","91","91","89","87","82","75","67","62","61","59","59","58","59","64","68","70","75","75","78","80","76"
"18","82","83","83","83","84","84","80","73","72","69","66","64","65","72","73","74","76","68","72","74","76","78","79","81","75"
"19","81","84","87","89","89","87","86","81","77","71","72","71","69","68","69","77","81","84","87","90","90","94","95","95","82"
"20","94","95","96","95","95","94","93","92","92","88","83","82","80","74","76","78","80","80","84","82","85","80","88","84","86"
"21","80","86","87","87","89","89","87","84","83","81","79","82","78","78","77","75","78","82","89","92","91","85","87","87","84"
"22","89","91","92","92","91","90","88","82","79","83","83","83","84","83","82","78","82","82","85","88","88","90","90","90","86"
"23","91","93","93","93","93","92","91","88","89","90","88","87","89","91","91","90","96","96","95","93","95","94","96","95","92"
"24","94","94","94","94","95","94","93","95","92","90","92","88","93","91","91","92","92","95","98","99","99","99","99","100","94"
"25","100","100","100","99","99","99","99","97","96","97","96","97","94","94","96","98","97","99","99","99","99","100","100","100","98"
"26","100","100","100","100","100","100","100","99","95","87","92","97","99","99","99","99","98","99","99","99","99","100","100","100","98"
"27","100","100","100","100","100","100","100","100","100","99","97","96","96","94","88","89","95","97","97","98","99","100","100","100","98"
"28","100","100","100","100","100","100","99","99","96","93","89","78","73","77","85","80","74","80","78","78","79","79","82","84","88"
"29","86","93","92","92","91","90","82","72","68","68","64","66","70","74","74","73","79","77","77","76","77","79","85","91","79"
"30","92","90","90","89","90","86","78","72","67","77","77","75","74","72","69","77","76","77","80","79","83","87","87","89","81"
"31","91","89","89","89","90","90","88","87","87","87","87","85","83","78","80","87","94","93","96","96","96","96","96","96","90"
"平均","90","91","91","92","92","91","90","87","85","83","81","80","79","79","80","81","83","85","87","87","88","89","90","90","平均"
