
"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","0.3 / 90","0.1 / 0","0.1 / 0","0.9 / 110","0.1 / 0","1.0 / 110","0.4 / 110","2.0 / 100","0.8 / 110","0.3 / 40","1.4 / 300","2.3 / 310","1.1 / 310","0.2 / 0","1.5 / 350","1.8 / 360","1.8 / 10","2.2 / 30","1.5 / 40","0.1 / 0","1.4 / 100","0.8 / 100","0.2 / 0","0.1 / 0","0.9"
"02","1.5 / 120","1.5 / 100","1.3 / 100","0.6 / 70","0.9 / 90","1.5 / 110","1.0 / 110","1.0 / 80","1.3 / 110","0.8 / 150","0.5 / 360","2.3 / 290","0.3 / V","1.5 / 250","2.2 / 300","1.2 / 290","0.1 / 0","2.0 / 290","0.5 / 290","0.2 / 0","0.5 / 170","0.8 / 120","2.2 / 110","1.7 / 110","1.1"
"03","1.7 / 110","0.4 / 360","0.4 / 100","0.2 / 0","0.7 / 80","0.5 / 70","0.2 / 0","0.6 / 90","0.6 / 100","0.3 / 340","0.6 / 300","1.7 / 290","2.1 / 280","2.2 / 300","1.8 / 290","1.6 / 290","0.7 / 290","0.7 / 30","0.1 / 0","1.1 / 90","0.4 / 90","0.6 / 100","1.4 / 100","0.5 / 90","0.9"
"04","1.4 / 100","0.6 / 70","1.3 / 90","1.0 / 80","1.3 / 90","0.9 / 80","1.8 / 100","1.8 / 100","1.5 / 110","1.2 / 110","0.6 / 230","1.0 / 240","1.4 / 300","1.2 / 290","1.1 / 300","1.2 / 290","0.0 / 0","0.5 / 40","0.7 / 90","1.9 / 40","2.7 / 10","2.2 / 30","2.5 / 20","2.6 / 30","1.4"
"05","3.0 / 20","2.9 / 30","1.6 / 10","2.2 / 20","1.8 / 40","2.3 / 30","2.5 / 50","2.4 / 20","3.5 / 50","3.3 / 30","3.7 / 20","3.5 / 60","3.0 / 60","2.7 / 40","4.0 / 40","2.6 / 40","1.5 / 40","1.4 / 50","2.1 / 30","1.5 / 80","1.3 / 80","1.0 / 90","0.2 / 0","0.2 / 0","2.3"
"06","0.0 / 0","0.3 / 100","0.7 / 100","0.6 / 70","0.7 / 60","0.8 / 60","1.2 / 100","1.6 / 80","0.7 / 70","0.7 / 330","0.5 / 30","2.4 / 350","1.6 / 350","1.9 / 350","2.5 / 350","2.6 / 40","1.6 / 10","2.0 / 30","2.6 / 50","3.0 / 360","2.7 / 30","2.0 / 30","2.4 / 20","3.4 / 30","1.6"
"07","3.4 / 20","3.2 / 20","3.7 / 20","3.0 / 30","3.8 / 20","3.3 / 20","3.4 / 30","4.2 / 20","3.0 / 40","4.3 / 20","5.0 / 30","4.7 / 30","4.3 / 30","3.9 / 20","4.8 / 30","4.1 / 20","3.6 / 30","3.4 / 30","3.4 / 20","4.1 / 20","3.0 / 30","3.5 / 20","3.8 / 20","3.8 / 20","3.8"
"08","4.1 / 20","4.0 / 30","4.0 / 20","4.9 / 20","4.5 / 20","3.4 / 30","4.5 / 20","3.9 / 20","4.0 / 30","4.5 / 30","5.1 / 20","4.7 / 30","5.0 / 20","4.6 / 20","5.5 / 20","4.5 / 30","4.1 / 30","5.2 / 20","4.3 / 30","5.2 / 30","4.2 / 30","4.6 / 30","4.1 / 30","4.0 / 30","4.5"
"09","4.0 / 30","4.3 / 30","3.9 / 30","3.2 / 30","3.3 / 30","3.4 / 20","4.2 / 30","2.4 / 50","5.1 / 30","4.3 / 20","5.0 / 20","5.2 / 30","4.3 / 20","4.0 / 20","3.8 / 20","4.1 / 20","3.4 / 30","4.8 / 30","4.0 / 30","3.5 / 30","2.4 / 30","3.2 / 30","1.6 / 60","2.0 / 40","3.7"
"10","2.4 / 40","2.3 / 20","3.0 / 30","2.5 / 40","2.6 / 30","2.2 / 30","2.2 / 60","1.7 / 10","3.4 / 20","3.0 / 20","3.4 / 10","3.1 / 20","2.7 / 20","2.7 / 20","2.3 / 30","3.0 / 360","2.9 / 20","2.6 / 20","3.0 / 20","1.8 / 40","2.2 / 50","2.1 / 20","1.6 / 20","1.0 / 20","2.5"
