Month,Date,Hour,AirTemperature,DewPointTemperature,Precipitation,PrecipitationDuration,RelativeHumidity,SeaLevelPressure,StationPressure,WindSpeed,WindDirection
Jan-15,2015/1/1,1,15.5,8.7,0,0,64,1023.1,1019.6,4,40
Jan-15,2015/1/1,2,15,8.4,0,0,65,1023.8,1020.3,3.8,40
Jan-15,2015/1/1,3,14.6,8.2,0,0,65,1024.2,1020.7,3.5,20
Jan-15,2015/1/1,4,13.9,7.9,0,0,67,1024.4,1020.9,3.2,20
Jan-15,2015/1/1,5,13.5,8.1,0,0,70,1024.9,1021.4,4.4,30
Jan-15,2015/1/1,6,13.1,7.6,0,0,69,1025.8,1022.3,3,20
Jan-15,2015/1/1,7,13.2,7,0,0,66,1026.5,1023,2.9,30
Jan-15,2015/1/1,8,13.9,7.3,0,0,64,1027.3,1023.8,3,30
Jan-15,2015/1/1,9,14.8,6.9,0,0,59,1028.3,1024.8,5.3,70
Jan-15,2015/1/1,10,15.1,6.2,0,0,55,1028.1,1024.6,5.1,60
Jan-15,2015/1/1,11,15.5,5.9,0,0,53,1027.1,1023.6,4.2,30
Jan-15,2015/1/1,12,15.3,5.1,0,0,51,1026.2,1022.7,5.9,10
Jan-15,2015/1/1,13,15.7,5.3,0,0,50,1025.2,1021.7,3.7,30
Jan-15,2015/1/1,14,14.3,5.1,0,0,54,1024.8,1021.3,5,20
Jan-15,2015/1/1,15,14.2,5,0,0,54,1025.2,1021.7,3.8,40
Jan-15,2015/1/1,16,13.5,3.9,0,0,52,1025.7,1022.2,4.3,40
Jan-15,2015/1/1,17,12.6,4.1,0,0,56,1026.5,1023,4.4,30
Jan-15,2015/1/1,18,12,3.5,0,0,56,1026.8,1023.2,3.3,40
Jan-15,2015/1/1,19,11.8,4.1,0,0,59,1027.4,1023.8,4.1,30
Jan-15,2015/1/1,20,11.7,3.7,0,0,58,1027.5,1023.9,3.6,20
Jan-15,2015/1/1,21,11.7,4.4,0,0,61,1027.5,1023.9,4.4,20
Jan-15,2015/1/1,22,11.6,4.6,0,0,62,1027,1023.4,5,20
Jan-15,2015/1/1,23,11.6,4.7,0,0,63,1026.8,1023.2,4.5,30
Jan-15,2015/1/1,24,11.4,5,0,0,65,1026.5,1022.9,3.8,20
Jan-15,2015/1/2,1,11.2,5.2,0,0,67,1026.5,1022.9,3.3,20
Jan-15,2015/1/2,2,11.1,5.4,0,0,68,1026.1,1022.5,3,30
Jan-15,2015/1/2,3,11.3,5.5,0,0,67,1026.1,1022.5,2.9,30
Jan-15,2015/1/2,4,11.4,5.7,0,0,68,1026.1,1022.5,2.3,20
Jan-15,2015/1/2,5,11,5.5,0,0,69,1025.8,1022.2,1.5,20
Jan-15,2015/1/2,6,11.1,5.3,0,0,67,1025.9,1022.3,2.5,30
Jan-15,2015/1/2,7,11.2,5.2,0,0,67,1026.1,1022.5,2.2,30
Jan-15,2015/1/2,8,12.1,5.9,0,0,66,1026.4,1022.9,2,40
Jan-15,2015/1/2,9,14,6.2,0,0,59,1026.6,1023.1,2.9,40
